panjivarecordid,arrivaldate,conname,shpname,con_ciqid,shp_ciqid,hs6,hs2,n_hs6,shpmtorigin,weightkg,valueofgoodsusd,unit,relationship
286561675,2024-11-20,Hollingshead Cement Llc,Lafarge Ciment Msila SpA,1939954244,1853086277,680610,68,1,Algeria,19000000.0,123500000.0,6.5,arms_length
270506071,2024-04-27,,,,,080132,08,1,Canada,23698000.0,120173000.0,5.0710186513629845,unmatched
265656500,2024-02-01,Tenaris Bay City,Silcotub S A,1932515075,12144413,722220,72,1,Romania,19773484.0,119392000.0,6.037985010633432,arms_length
274211233,2024-06-21,Tenaris Global Services USA,Silcotub S A,27880331,12144413,722220,72,1,Romania,21409386.0,116125000.0,5.424022902852048,within_firm
272639027,2024-05-30,To Ther Petrobras America,Petroleo Brasileiro S.A.,,409268,850220,85,1,Brazil,18392000.0,115686000.0,6.2900173988690735,unmatched
288506750,2024-12-12,Tidewater Global Llc,Lava Mining & Quarrying,35572,52743797,610990,61,1,Greece,10800000.0,113249000.0,10.486018518518518,arms_length
267987660,2024-03-12,Hawkron Inc.,Koluman Otomotiv Endustri A.S.,,146056043,848390,84,1,Turkey,14560000.0,113015000.0,7.762019230769231,unmatched
286096853,2024-11-17,Suncor Energy Marketing Inc.,Suncor Energy Marketing Inc.,232524605,6612477,391190,39,1,Canada,17033264.0,112965000.0,6.632023081424676,within_firm
268804036,2024-04-01,Tenaris Global Services USA,Silcotub S A,27880331,12144413,722220,72,1,Romania,18346934.0,110779000.0,6.038011582752737,within_firm
285388348,2024-11-07,Heidelberg Marterials US Cement Llc,Akcansa Cimento Sanayi Ve Ticaret A,,,850153,85,1,Turkey,11900000.0,110682000.0,9.301008403361344,unmatched
280063719,2024-09-06,Usalco Baltimore Plant Llc,Alunorte Alumina Do Nortedo Brasil S.A.,,5529133,846410,84,1,Brazil,10080120.0,109057000.0,10.819018027563164,unmatched
