ym,n_pairs,value,pair_hs,hs_per_pair,val_per_hs,dlog_value,dlog_pairs,dlog_hs_per_pair,dlog_val_per_hs,decomp_check,n_entry,n_exit,entry_value,exit_value_prev,subset
2024-01,2610,4402973152.0,3912,1.4988505747126437,1125504.3844580776,,,,,,,,,,korea_origin
2024-02,2273,3580209856.0,3343,1.4707435107787066,1070957.180975172,-0.20685861140534456,-0.13824967646419584,-0.018930468270413447,-0.04967846667073417,1.1102230246251565e-15,803.0,1140.0,335052898.0,627115423.0,korea_origin
2024-03,2654,4421344770.0,4036,1.520723436322532,1095476.900396432,0.21102247873333368,0.15496739103960966,0.033418104013791305,0.022636983679930722,-1.9984014443252818e-15,1186.0,805.0,504854635.0,338846538.0,korea_origin
2024-04,2563,4287266400.0,3785,1.4767850175575497,1132699.180977543,-0.030794569379590797,-0.034889488528081714,-0.029318727073868733,0.0334136462223622,2.55351295663786e-15,950.0,1041.0,485642989.0,418941321.0,korea_origin
2024-05,2638,4198390005.0,3904,1.4799090219863533,1075407.2758709015,-0.020948207386819462,0.028842606913189073,0.002113174748245239,-0.051903989048255994,-2.220446049250313e-15,1042.0,967.0,446093377.0,281298786.0,korea_origin
2024-06,2704,4572761906.0,4008,1.482248520710059,1140908.6591816368,0.08541625849946044,0.024711103885595165,0.0015795913461227329,0.05912556326774698,4.440892098500626e-15,1099.0,1033.0,510804066.0,613512069.0,korea_origin
