yq,n_importers,mean,p25,p50,p75,p90,p99,max
2024Q1,41291,2.96926691046475,1.0,1.0,3.0,6.0,25.0,370.0
2024Q2,43343,2.9322843365710725,1.0,1.0,3.0,6.0,25.0,363.0
