hs2_main,redacted_share
76,2.9592365169786195e-05
33,2.6327567596029802e-05
39,5.2497089692590165e-06
94,3.0349013657056146e-06
02,0.0
05,0.0
04,0.0
07,0.0
03,0.0
09,0.0
06,0.0
11,0.0
12,0.0
13,0.0
14,0.0
