ym,subset,n_shipments,n_shipments_classified,n_pairs,n_importers,n_exporters,within_share_count,within_share_teu,within_share_value,value_usd_total
2024-01,all,1086767,253403,71117,28253,42973,0.15791446825807112,0.22580727368741854,0.3188055531833633,160405600410.0
2024-02,all,1044726,234183,66744,26913,41259,0.16172822109205195,0.22998193600989048,0.32877671348889626,146920271223.0
2024-03,all,1109671,258686,67576,27232,41874,0.16898479237376587,0.23618538000423228,0.3188947954211346,156624563228.0
2024-04,all,1260428,277808,68566,27433,42273,0.15258379888268156,0.23181155347647067,0.3335168714976673,152664970483.0
2024-05,all,1357831,324648,72567,29169,43577,0.1322047263497696,0.226856538994888,0.3536801815034196,160227514388.0
2024-06,all,1378349,265274,73811,29665,43804,0.157712403024797,0.2225845402862859,0.32757445272712415,158264631424.0
