ym,subset,n_shipments,n_shipments_classified,n_pairs,n_importers,n_exporters,within_share_count,within_share_teu,within_share_value,value_usd_total,n_pairs_kor_mnc,value_kor_mnc,kor_mnc_pair_share
2024-01,korea_origin,47903,16409,2610,1844,1607,0.24858309464318362,0.24745720544178842,0.19813386796488283,11784794256.0,83,668547033.0,0.031800766283524906
2024-02,korea_origin,44394,13696,2273,1612,1467,0.2467873831775701,0.2702728162880128,0.24714527539001194,10810858769.0,76,692920766.0,0.03343598768147822
2024-03,korea_origin,56502,19847,2654,1849,1593,0.2792865420466569,0.2602169203574265,0.24618824138517661,12672778661.0,82,877911032.0,0.03089675960813866
2024-04,korea_origin,48689,17261,2563,1769,1574,0.25508371473263425,0.21535044567828235,0.25739385556976696,12230080549.0,78,666533300.0,0.030433086227077643
2024-05,korea_origin,53011,18139,2638,1856,1609,0.28518661447709354,0.24580005747905115,0.23740108345542507,12807994128.0,79,687822489.0,0.029946929492039424
2024-06,korea_origin,54635,18533,2704,1894,1634,0.25980683105811253,0.23900490530621513,0.21863243714661929,13342256845.0,77,655631870.0,0.028476331360946745
