n_hs6,share
0,0.00646276229756892
1,0.9411009354812503
2,0.032145527656853516
3,0.009331048283919416
4,0.004131796359432157
5,0.0022675486323691877
6,0.001245134552456198
7,0.0007920945838028609
8,0.0005208785244962124
9,0.0003593647326829306
10,0.0016429088951682921
