ym,n_pairs,value,pair_hs,hs_per_pair,val_per_hs,dlog_value,dlog_pairs,dlog_hs_per_pair,dlog_val_per_hs,decomp_check,n_entry,n_exit,entry_value,exit_value_prev,subset
2024-01,71117,53699753113.0,93603,1.3161831910794888,573696.9233144236,,,,,,,,,,all
2024-02,66744,49915808084.0,87770,1.3150245714970634,568711.4969123846,-0.07307065612198471,-0.06346200248895961,-0.0008806751589811035,-0.008727978474045273,-1.27675647831893e-15,29207.0,33580.0,9551167267.0,10965892488.0,all
2024-03,67576,56921680459.0,89488,1.3242571327098378,636081.7144086357,0.13133854809973755,0.012388484825422097,0.006996296649783795,0.11195376662453249,8.326672684688674e-16,31491.0,30659.0,11962110436.0,8828317570.0,all
2024-04,68566,51289803227.0,90443,1.319064842633375,567095.3332706788,-0.10418433104375424,0.014543894620915765,-0.003928614677327025,-0.11479961098734215,8.326672684688674e-16,31250.0,30260.0,9666935027.0,10707302960.0,all
2024-05,72567,53141447689.0,96473,1.3294334890514972,550842.6988794792,0.03546521796996416,0.056713487992993805,0.007829870433719188,-0.029078140456748613,2.220446049250313e-16,33550.0,29549.0,8478044316.0,8516402839.0,all
2024-06,73811,54338787124.0,99095,1.3425505683434718,548350.442746859,0.02228110073166789,0.016997498950766854,0.00981831057601018,-0.00453470879510931,-1.6653345369377348e-16,33469.0,32225.0,9889924926.0,9112201820.0,all
