블록,부착 선적,행 커버(%),금액 커버(%)
수입자 모회사 · 연간,2584235,14.250162229740251,31.618042264026787
수입자 모회사 · 분기,2534380,13.975248439793244,31.26520327716578
수입자 법인 · 연간,553307,3.0510826271027556,5.653988342314887
