group,t,n_exp_both,n_dlog,dlog_value_mean,dlog_value_median,dn_dest_mean,dn_dest_median
처리(신규 원산국 진입),2024Q2,1360,1344,0.2707958469553724,0.20279343065749522,2.2705882352941176,1.0
대조(진입 없음),2024Q2,618,604,0.06942263626126578,0.023003157017523534,0.8543689320388349,0.0
처리(신규 원산국 진입),2024Q3,1208,1194,0.0599082210652183,0.07085184396882394,0.9635761589403974,0.0
대조(진입 없음),2024Q3,815,801,0.12414353756888061,0.147758092446729,0.10306748466257669,0.0
처리(신규 원산국 진입),전체,2568,2538,0.17158393784865686,0.14972564626739615,1.6557632398753894,0.0
대조(진입 없음),전체,1433,1405,0.10061939209571381,0.08766950809084229,0.427076064200977,0.0
