period,n_importers,n_exporters,n_both,both_share_of_importers,both_share_of_exporters,imp_value_share_of_both,exp_value_share_of_both
2024Q1,64915,7159,3256,5.015789879072633,45.48121245984076,31.016550185734594,61.24729661352085
2024Q2,67365,7414,3409,5.060491353076523,45.980577286215265,35.690743407509764,70.11292152589323
2024Q3,68412,7953,3502,5.11898497339648,44.03369797560669,34.41276023466362,69.79526666850629
2024Q4,68404,7598,3398,4.967545757558037,44.72229534087918,33.375025931228514,69.83830123144168
2024,105701,12881,6800,6.433240934333639,52.79093238102632,40.22982674494779,75.75379203440801
