블록,부착 선적,행 커버(%),금액 커버(%)
수입자 모회사 · 연간,2556239,14.095784805944115,31.48603968708157
수입자 모회사 · 분기,2505681,13.816994486173966,31.074642675974545
수입자 법인 · 연간,544670,3.003455901523129,5.579760521101482
