basis,bin,n,value_usd,share(%),value_share(%)
목적지 국가 수 · 수출 firm-분기,0 (목적지 결측만),1392,2420133983.0,4.62,0.38
목적지 국가 수 · 수출 firm-분기,1,14414,39543129570.00068,47.85,6.14
목적지 국가 수 · 수출 firm-분기,2,4037,30124276335.998,13.4,4.68
목적지 국가 수 · 수출 firm-분기,3-5,4412,49737915164.00502,14.65,7.73
목적지 국가 수 · 수출 firm-분기,6-10,2721,62640973514.99381,9.03,9.73
목적지 국가 수 · 수출 firm-분기,11+,3148,459225643217.0138,10.45,71.34
