ym,n_shipments,수입자 매칭(%),수입자 매칭 금액(%),수출자 매칭(%),수출자 매칭 금액(%),양측 매칭(%),양측 매칭 금액(%)
202401,1086767,53.08147928672844,63.21853984886063,32.64186343530858,41.041377269079355,23.32643519724099,33.49404800622572
202402,1044726,51.76467322532415,66.4265321092886,30.97137431249916,42.719854712720156,22.42942168568601,33.99400661750301
202403,1109671,50.915091049509265,66.66882174349313,32.45232145383632,44.75486782616523,23.326553546051038,36.35780843398375
202404,1260427,46.59944606073974,64.88622167940501,29.537291727327325,42.07419227845682,22.055144804102103,33.59873527303413
202405,1357831,48.88782182760594,63.49759772758462,34.23872337573675,42.360567720373545,23.925216024674647,33.19790759856146
202406,1378348,43.4284375208583,65.2662626816751,39.32845696442408,43.06027797120938,19.2636402417967,34.35796098777331
202407,1569892,42.18022641047919,63.96515152437495,35.8469882004622,43.34785764539851,18.370117180035315,34.23085134095929
202408,1555411,41.580392577910274,64.78742297029666,30.646176476828312,42.88545624623716,18.10363948821244,34.14799300655859
202409,1758596,37.2520465189276,64.03161613510905,30.92739890230616,42.4922594895663,15.910931220132424,34.01839270399265
202410,2061194,30.67925678029336,63.99232609675817,27.27618069914816,41.63768362618536,13.172801783820445,33.16027266578442
202411,1945679,31.56455921043502,65.55194192943638,18.894637810245165,44.0879130184889,13.863951864618985,35.042516081503216
202412,2006234,30.556654906655957,67.33563081435993,18.066735983938067,47.770080443473454,13.180167418157604,40.12782379973576
