구분,행,전체 대비(%),금액($B),전체 금액 대비(%),"within 비중(금액,%)",kor_mnc_link=1 행,kor_mnc_link 금액($B)
한국 원산지 pair-월,30529,3.581942102749844,56.593023644,8.538989224623256,18.33551193213217,941,7.620180474
수출자 모회사가 한국(KR) pair-월,30985,3.6354442023552656,52.381919227,7.903600391774797,,1647,10.86992153
